,Run,duration,prediction-duration,RMSE,MSE,MAE,MAE_HIGH,MAPE,NSE,KGE
0,1,749.3269686698914,3.9515585899353027,47.64,2269.27,26.18,112.4,0.39,0.75,0.77
1,2,796.1467409133911,4.449644565582275,47.28,2234.95,27.0,106.38,0.45,0.76,0.79
2,3,895.7346091270447,3.8594987392425537,47.03,2212.03,27.06,109.35,0.48,0.76,0.77
3,4,771.6783769130707,3.8052010536193848,47.98,2302.26,26.33,112.86,0.41,0.75,0.77
4,5,866.703528881073,3.9068610668182373,47.9,2294.57,26.84,116.25,0.44,0.75,0.75
5,6,783.1678202152252,4.168163537979126,48.05,2308.88,27.74,114.9,0.48,0.75,0.75
6,7,867.6215076446533,4.044785261154175,47.75,2280.28,26.67,109.07,0.42,0.75,0.78
7,8,1334.0185239315033,6.362568616867065,46.95,2204.38,26.55,109.26,0.47,0.76,0.77
8,9,1660.34308552742,7.161908388137817,47.44,2250.25,26.3,107.58,0.42,0.75,0.79
9,10,1105.2725942134857,7.056559324264526,47.23,2230.97,27.24,106.06,0.47,0.76,0.79
