,Run,duration,prediction-duration,RMSE,MSE,MAE,MAE_HIGH,MAPE,NSE,KGE
0,1,841.2900183200836,4.276853322982788,48.71,2372.41,28.11,117.83,0.46,0.74,0.76
1,2,605.0428414344788,4.614065885543823,48.73,2374.67,29.09,115.31,0.53,0.74,0.76
2,3,918.7188894748688,4.251788139343262,48.71,2372.77,28.39,117.77,0.49,0.74,0.75
3,4,896.1209335327148,4.355481147766113,48.35,2337.95,27.68,114.58,0.46,0.74,0.76
4,5,922.5439658164978,4.238703012466431,48.44,2346.37,27.47,115.69,0.45,0.74,0.75
5,6,954.3887777328492,4.249202728271484,48.78,2379.86,28.29,112.16,0.48,0.74,0.77
6,7,928.6782863140106,4.115305423736572,48.28,2331.18,27.77,109.28,0.45,0.74,0.79
7,8,743.3815588951111,4.379061460494995,48.36,2338.38,27.69,108.51,0.45,0.74,0.79
8,9,658.9522907733917,4.276515245437622,49.19,2419.39,28.86,112.82,0.51,0.74,0.78
9,10,717.4641487598419,4.229061603546143,48.01,2305.19,28.0,110.5,0.48,0.75,0.78
