,Run,duration,prediction-duration,RMSE,MSE,MAE,MAE_HIGH,MAPE,NSE,KGE
0,1,4411.112111330032,27.235294818878174,48.55,2357.43,28.46,106.78,0.49,0.74,0.79
1,2,4631.731910228729,21.04702353477478,48.54,2355.82,28.28,108.7,0.47,0.74,0.79
2,3,5233.196008682251,25.055066108703613,48.34,2337.16,27.96,110.61,0.47,0.74,0.78
3,4,4992.283470153809,22.193800687789917,48.5,2352.44,28.37,110.93,0.48,0.74,0.78
4,5,4554.589230298996,23.3036367893219,48.3,2333.18,28.1,106.47,0.48,0.74,0.8
5,6,4427.269816637039,17.777497053146362,48.63,2364.69,28.31,112.5,0.49,0.74,0.77
6,7,3669.8891978263855,19.709474086761475,48.53,2355.03,28.6,108.03,0.5,0.74,0.79
7,8,3133.279765367508,15.252923250198364,48.53,2354.95,28.49,110.84,0.49,0.74,0.78
8,9,2885.139504671097,16.19403839111328,51.55,2657.8,29.84,124.87,0.51,0.71,0.75
9,10,3234.460435628891,15.409022808074951,48.42,2344.14,27.97,110.01,0.47,0.74,0.78
