,Run,duration,prediction-duration,RMSE,MSE,MAE,MAE_HIGH,MAPE,NSE,KGE
0,1,3414.1234846115112,16.67570662498474,47.73,2277.9,26.81,106.47,0.43,0.75,0.79
1,2,2953.9916849136353,20.355247020721436,48.14,2317.91,26.87,114.02,0.43,0.75,0.77
2,3,3433.345137357712,18.72702383995056,47.59,2264.41,27.27,108.17,0.48,0.75,0.78
3,4,3018.732546567917,18.788211345672607,47.65,2270.18,27.58,102.2,0.47,0.75,0.81
4,5,3075.7860720157623,17.411224842071533,47.64,2269.23,26.48,103.98,0.41,0.75,0.81
5,6,3139.1422283649445,18.900649309158325,47.56,2261.59,27.06,104.52,0.44,0.75,0.8
6,7,2631.8152780532837,15.267415046691895,47.25,2232.99,26.84,103.51,0.42,0.76,0.81
7,8,2653.9532039165497,20.090566873550415,47.94,2298.22,26.75,110.29,0.42,0.75,0.78
8,9,4180.7668879032135,24.27837371826172,47.73,2277.81,26.45,111.55,0.42,0.75,0.77
9,10,3533.32559800148,17.901475191116333,47.52,2258.53,26.99,109.29,0.44,0.75,0.78
